PAYMENT_TYPE,GTIN,POS_DESCRIPTION,CATEGORY,BRAND,PURCHASE_COUNT,TOTAL_SALES,TOTAL_UNITS
DEBIT,0,Lotto,null,null,13601,136861.03999999998,13661
CASH,0,NON TAX GROCERY,null,null,13090,22935.050000000017,13573
CASH,0,LOTTERY PAID OUT,null,null,13081,-350939.54000000004,13081
CASH,0,MEGABUCKS,null,null,13048,150233.75,13067
CASH,0,SNACKS,null,null,12543,36999.06999999944,14567
CASH,0,LOTTO P/O,null,null,12532,-415898.6000000001,12532
CASH,0,LOTTERY PD OUT,null,null,12308,-413656.93000000005,12308
CASH,0,LotteryOnline,null,null,12256,180144.24,12257
CASH,0,DELI OTHER,null,null,12053,69004.26999999874,13512
DEBIT,0,VAPE,null,null,11870,221541.1500000026,12821
CREDIT,0,NON GROC,null,null,11819,38080.349999999686,13603
DEBIT,0,Trans Fee,null,null,11717,0,11717
CREDIT,0,GROC TAX,null,null,11628,65571.72999999925,16347
DEBIT,0,BEER,null,null,11504,82345.1199999996,15424
CASH,0,Grocery Non Tax,null,null,11188,22108.610000000095,12778
CASH,0,NON TAX GROC,null,null,11086,39192.039999999884,11609
CASH,0,BEER & WINE,null,null,11035,54254.91999999944,17965
CREDIT,0,Grocery,null,null,10845,64114.46999999927,13080
DEBIT,0,ONLINE LOTTO,null,null,10776,160785.48,10784
CREDIT,0,Powerball,null,null,10736,123993.20000000001,10777
CREDIT,0,GENERAL MERCHANDISE,null,null,10634,97985.48999999902,12058
CASH,0,BOTTLE RETURN,null,null,10576,-195243.79,10595
CASH,0,Lottery Paid out,null,null,10331,-179170,10331
DEBIT,0,GROC TAX,null,null,10199,64863.34999999929,13058
CASH,0,TAX GROCRY,null,null,10146,67097.36999999927,12802
CASH,0,CANDY,null,null,10035,19982.93999999995,11604
CASH,0,OTHER Tobacco,null,null,9885,94870.72999999864,11087
DEBIT,0,OTHER TOBACCO,null,null,9854,67452.2699999989,14969
CASH,0,Lotto Pay Out,null,null,9791,-140835.24000000002,9803
CASH,0,EDIBLE GROCERY N,null,null,9754,22064.140000000054,10252
CASH,0,KRISPY KRUNCHY,null,null,9611,48253.29999999955,10436
CREDIT,0,SANDWICH,null,null,9570,84105.30999999857,10785
CASH,0,LOTTOONLINE,null,null,9522,89495.65000000001,9524
CASH,0,MACHINE LOTTERY,null,null,9432,88539.84,9446
LOTTERY,0,LOTTO,null,null,9262,193431.41000000003,9329
CASH,0,NEWS PAPER,null,null,9143,24167.869999999988,9174
CASH,0,NONTAX GROC,null,null,9131,31221.679999999946,9877
CASH,0,ONLINE LOTO,null,null,9004,85878.6,9008
CASH,0,Coupon,null,null,8940,-10106.670000000004,9839
CASH,0,SCRATCH WIN,null,null,8926,-171906.39,8930
DEBIT,0,ICE,null,null,8897,30364.219999999783,11163
CREDIT,0,BEER,null,null,8639,71316.17999999964,11001
CREDIT,0,BEER & WINE,null,null,8457,67213.3799999991,11879
DEBIT,0,NON TAX GROCRY,null,null,8315,206759.97000000044,15031
DEBIT,0,SNACKS,null,null,8313,30127.159999999698,9824
CASH,0,SUBS,null,null,8189,34570.07999999978,11359
CASH,0,GROCERY NT,null,null,8096,41836.269999999786,9754
LOTTERY,0,Online Lottery,null,null,8055,107586.81,8064
CASH,0,ONLINE,null,null,8008,71209.28,8029
DEBIT,0,PRODUCE,null,null,7947,18004.359999999964,9005
CREDIT,0,Tobbacco,null,null,7914,20114.649999999856,12272
CASH,0,POWERBALL,null,null,7755,67254.52,7767
DEBIT,0,OTHER Tobacco,null,null,7697,98606.16999999879,8895
CASH,0,MISC,null,null,7694,17240.27999999998,8598
DEBIT,0,SUBS,null,null,7663,35838.36999999975,10819
CREDIT,0,TAX GROCERY,null,null,7650,53715.72999999927,10591
DEBIT,0,Online Lottery,null,null,7633,89664.45,7657
DEBIT,0,TAX GROCRY,null,null,7361,86868.2999999994,11034
DEBIT,0,Chicken,null,null,7284,53943.16999999985,7331
CREDIT,0,Coupon,null,null,7208,-8393.729999999998,8300
CREDIT,0,ICE,null,null,7155,32206.149999999823,12000
CASH,0,Chicken,null,null,7148,50662.41999999987,7195
DEBIT,0,Deli Hot,null,null,7138,56907.31999999919,7556
CASH,0,VAPE,null,null,6887,104177.27999999934,7312
CASH,0,LOTTO-PO,null,null,6867,-122587.06,6867
CASH,0,Bag Fee,null,null,6738,712.6000000000121,6738
CASH,0,grocery,null,null,6645,20619.959999999923,7644
DEBIT,0,GENERAL GROCERY,null,null,6632,35028.61999999955,9526
CREDIT,0,LOTTO,null,null,6589,66393.23999999999,6761
CASH,0,Lottery PO,null,null,6586,-95804,6589
DEBIT,0,FOUNTAIN,null,null,6486,8131.45000000003,6974
CREDIT,0,ONLINE LOTTO,null,null,6396,86520.04,6398
DEBIT,0,EDIBLE GROCERY N,null,null,6393,23228.219999999892,6943
CREDIT,0,Cigarette,null,null,6371,110244.05999999895,7245
CASH,0,PRODUCE,null,null,6295,14559.840000000015,7403
DEBIT,0,ON LINE LOTTERY,null,null,6237,77946.8,6276
CREDIT,0,VAPE,null,null,6159,114608.41999999933,6918
CASH,0,GROCERY N/TAX,null,null,6150,18368.329999999976,6449
DEBIT,0,Coupon,null,null,6085,-7641.009999999999,7242
CASH,0,GENERAL GROCERY,null,null,6069,24982.089999999764,7840
DEBIT,0,CANDY,null,null,5971,15876.430000000006,7139
CASH,0,General Merchandise,null,null,5945,25938.049999999785,7087
CASH,0,HOT FOODS,null,null,5877,28433.19999999959,6037
DEBIT,0,NON TAX GROCERY,null,null,5868,6796.480000000013,6149
CASH,0,BEER WINE,null,null,5863,23791.23999999991,8013
CASH,0,CIG PACK,null,null,5709,13587.330000000045,9356
CREDIT,0,LOTTERY,null,null,5540,106624.36,5590
CASH,0,LOTTERY PAID  OUT,null,null,5519,-176416.56,5519
CASH,0,NOVELTY,null,null,5455,35423.379999999546,6210
DEBIT,0,BEER & WINE,null,null,5451,44769.06999999956,8022
CASH,0,CIGARETTES,null,null,5441,38650.349999999766,7876
EBT,0,NO TAX GROC,null,null,5420,47788.22999999956,6128
CREDIT,0,COFFEE,null,null,5397,9602.780000000032,5714
CASH,0,Cigarette,null,null,5390,75281.77999999931,6052
DEBIT,0,Cigarette,null,null,5377,115060.039999999,6174
CREDIT,0,Lotto,null,null,5299,53801.52999999999,5342
DEBIT,0,Lottery  Sales Winner,null,null,5299,-75068.02,5299
DEBIT,0,COFFEE,null,null,5293,8573.959999999986,5559
CASH,0,Beer,null,null,5199,37487.32999999977,6130
CASH,0,Tobacco,null,null,5169,33292.53999999973,7929
CREDIT,0,Beer,null,null,5137,56622.48999999971,5947
DEBIT,0,CIGARETTES,null,null,5039,68870.33999999966,7380
DEBIT,0,HOT FOODS,null,null,5036,25898.27999999968,5217
CASH,0,debitfee,null,null,4909,1718.1499999999821,4909
CREDIT,0,CANDY,null,null,4724,12767.190000000004,5562
CREDIT,0,Lottery,null,null,4720,69322.53,4737
CREDIT,0,ONLINE,null,null,4711,48828.54,4723
DEBIT,0,Bag Fee,null,null,4683,443.4900000000051,4683
CASH,0,Deli Hot,null,null,4669,33408.02999999963,4845
DEBIT,0,Lottery Online,null,null,4665,84946.32,4674
DEBIT,0,E-cig,null,null,4649,142721.18199999986,4649
CASH,0,Liquor,null,null,4585,38157.609999999855,5317
DEBIT,0,TAX GROC,null,null,4580,20882.289999999914,5118
CASH,0,HOT FOOD,null,null,4568,16075.600000000026,4699
DEBIT,0,Online Lotto,null,null,4566,64364.149999999994,4614
CASH,0,NOVELTIES,null,null,4564,45428.559999999496,5007
DEBIT,0,ENERGY DRINKS,null,null,4516,24508.459999999977,4995
CREDIT,0,Grocery Non Tax,null,null,4474,13560.670000000004,5799
CASH,0,LIQUOR,null,null,4424,23386.649999999903,8083
CASH,0,GENMERCHNT,null,null,4423,20119.44999999999,4810
CASH,0,LOTTERY P O,null,null,4379,-145123.41,4379
CREDIT,0,SNACKS,null,null,4364,10955.660000000014,5120
CASH,0,GROCERY TAX,null,null,4226,14560.540000000014,4966
CASH,0,GROCNT,null,null,4198,19643.509999999984,4678
CREDIT,0,General Merchandise,null,null,4168,21473.879999999892,5038
DEBIT,0,KRISPY KRUNCHY,null,null,4167,21582.229999999894,4560
DEBIT,0,Lotto Online,null,null,4158,34137.56,4182
CREDIT,0,KRISPY KRUNCHY,null,null,4127,21011.669999999904,4512
CASH,0,Lotto Paid Out,null,null,4056,-54259.520000000004,4059
DEBIT,0,GROCERY N/TAX,null,null,4055,19436.96999999998,4698
CASH,0,GROC..,null,null,4023,11391.550000000012,4639
DEBIT,0,GROCERY NT,null,null,4005,27125.199999999913,5406
DEBIT,0,GENERAL,null,null,3942,21885.4499999999,4049
CASH,0,LOTTERYPAYOUT,null,null,3928,-40710.7,3928
EBT,0,PRODUCE,null,null,3905,9617.630000000014,4288
CASH,0,Online,null,null,3890,43173.78,3894
DEBIT,0,Tobbacco,null,null,3872,14964.659999999985,6890
CREDIT,0,grocery,null,null,3850,15321.46000000002,4690
CASH,0,GRILL,null,null,3837,17363.480000000032,5042
CREDIT,0,Bag Fee,null,null,3832,375.79000000000286,3832
CREDIT,0,SUBS,null,null,3799,18327.100000000024,5595
CASH,0,CIGS,null,null,3785,16663.720000000023,7160
EBT,0,SANDWICH,null,null,3746,39881.999999999585,4419
